Knot_ID,Crossings,Components,Chi_Spin,Lambda,L_tot,M_abinitio_core_MeV,delta_kernel_vs_abinitio_core,Mass_G0_MeV,Match_G0,Mass_G1_MeV,Match_G1,Mass_G2_MeV,Match_G2,Mass_G3_MeV
0:1:1,0,1,1.0,3.1622776601683795,18.54,47.37,0.999236,0.036,None,19.829,None,10869.258,None,5957918.765
0:1:2,0,2,1.0,3.1622776601683795,22.197,56.714,0.999502,0.028,None,15.469,None,8479.024,None,4647725.962
2:2:1,2,2,1.0,3.1622776601683795,33.161,84.725,0.999502,0.042,None,23.108,None,12666.747,None,6943201.383
3:1:1,3,1,2.0,1.0,121.649,31.081,0.988525,0.357,Electron (e-),195.494,Pion (pi0),107158.714,Higgs Boson (H),58738405.817
4:1:1,4,1,1.0,3.1622776601683795,12.309,31.449,0.999533,0.015,None,8.046,None,4410.565,Bottom Quark (b),2417624.89
5:1:1,5,1,2.0,1.0,116.875,29.861,0.992058,0.237,None,130.005,Pion (pi0),71261.577,W Boson (W),39061605.709
5:1:2,5,1,2.0,1.0,119.21,30.458,0.992058,0.242,None,132.603,Pion (pi0),72685.572,W Boson (W),39842159.917
6:1:1,6,1,2.0,1.0,123.024,31.433,0.995702,0.135,None,74.055,Muon (mu),40592.71,None,22250650.057
6:1:2,6,1,2.0,1.0,120.662,30.829,0.995702,0.133,None,72.633,Muon (mu),39813.168,None,21823348.789
6:1:3,6,1,2.0,1.0,118.945,30.39,0.995702,0.131,None,71.6,Muon (mu),39246.856,None,21512928.222
6:2:3,6,3,1.0,3.1622776601683795,42.084,107.525,0.999891,0.012,None,6.424,None,3521.026,Bottom Quark (b),1930029.046
7:1:1,7,1,2.0,1.0,112.73,28.802,0.99616,0.111,None,60.62,None,33228.517,None,18214011.948
7:1:2,7,1,2.0,1.0,116.093,29.662,0.99616,0.114,None,62.428,None,34219.756,None,18757353.999
7:1:3,7,1,2.0,1.0,112.859,28.835,0.99616,0.111,None,60.69,None,33266.616,None,18234895.728
7:1:4,7,1,2.0,1.0,118.966,30.396,0.99616,0.117,None,63.973,None,35066.601,None,19221546.974
7:1:5,7,1,2.0,1.0,115.338,29.469,0.99616,0.113,None,62.022,None,33997.207,None,18635365.025
7:1:6,7,1,2.0,1.0,124.425,31.791,0.99616,0.122,None,66.909,Muon (mu),36675.725,None,20103578.547
7:1:7,7,1,2.0,1.0,125.256,32.003,0.99616,0.123,None,67.356,Muon (mu),36920.636,None,20237824.976
8:1:1,8,1,2.0,1.0,102.144,26.098,0.996519,0.091,None,49.799,None,27297.035,None,14962706.035
8:1:2,8,1,2.0,1.0,102.46,26.178,0.996519,0.091,None,49.953,None,27381.358,None,15008927.132
8:1:3,8,1,2.0,1.0,104.277,26.643,0.996519,0.093,None,50.839,None,27866.988,None,15275122.089
8:1:4,8,1,2.0,1.0,103.44,26.429,0.996519,0.092,None,50.431,None,27643.368,None,15152546.026
8:1:5,8,1,2.0,1.0,111.322,28.443,0.996519,0.099,None,54.274,None,29749.785,None,16307165.804
8:1:6,8,1,2.0,1.0,102.991,26.314,0.996519,0.092,None,50.212,None,27523.266,None,15086713.044
8:1:7,8,1,2.0,1.0,98.58,25.187,0.996519,0.088,None,48.061,None,26344.486,None,14440571.99
8:1:8,8,1,2.0,1.0,106.558,27.225,0.996519,0.095,None,51.951,None,28476.471,None,15609206.745
8:1:9,8,1,2.0,1.0,98.166,25.081,0.996519,0.087,None,47.86,None,26234.024,None,14380022.605
8:1:10,8,1,2.0,1.0,102.072,26.079,0.996519,0.091,None,49.764,None,27277.653,None,14952081.673
8:1:11,8,1,2.0,1.0,105.518,26.96,0.996519,0.094,None,51.444,None,28198.653,None,15456922.462
8:1:12,8,1,2.0,1.0,111.079,28.381,0.996519,0.099,None,54.155,None,29684.697,None,16271488.424
8:1:13,8,1,2.0,1.0,102.724,26.246,0.996519,0.091,None,50.082,None,27451.987,None,15047642.085
8:1:14,8,1,2.0,1.0,113.493,28.997,0.996519,0.101,None,55.332,None,30329.799,None,16625097.13
8:1:15,8,1,2.0,1.0,106.079,27.103,0.996519,0.094,None,51.717,None,28348.527,None,15539074.929
8:1:16,8,1,2.0,1.0,109.138,27.885,0.996519,0.097,None,53.209,None,29165.94,None,15987134.653
8:1:17,8,1,2.0,1.0,108.579,27.742,0.996519,0.097,None,52.936,None,29016.796,None,15905382.734
8:1:18,8,1,2.0,1.0,125.802,32.142,0.996519,0.112,None,61.333,None,33619.229,None,18428178.311
8:1:19,8,1,2.0,1.0,111.15,28.399,0.996519,0.099,None,54.19,None,29703.732,None,16281922.094
8:1:20,8,1,2.0,1.0,115.947,29.624,0.996519,0.103,None,56.528,None,30985.67,None,16984609.215
8:1:21,8,1,2.0,1.0,121.897,31.145,0.996519,0.108,None,59.429,None,32575.834,None,17856248.065
9:1:1,9,1,2.0,1.0,110.27,28.174,0.998027,0.056,None,30.467,None,16700.497,None,9154277.002
9:1:2,9,1,2.0,1.0,121.008,30.918,0.998027,0.061,None,33.434,None,18326.842,None,10045748.329
9:1:3,9,1,2.0,1.0,105.658,26.996,0.998027,0.053,None,29.193,None,16002.004,None,8771402.345
9:1:4,9,1,2.0,1.0,116.8,29.842,0.998027,0.059,None,32.272,None,17689.462,None,9696372.277
9:1:5,9,1,2.0,1.0,113.338,28.958,0.998027,0.057,None,31.315,None,17165.19,None,9408995.822
9:1:6,9,1,2.0,1.0,111.107,28.388,0.998027,0.056,None,30.699,None,16827.283,None,9223774.385
9:1:7,9,1,2.0,1.0,110.0,28.105,0.998027,0.055,None,30.393,None,16659.674,None,9131900.137
9:1:8,9,1,2.0,1.0,122.911,31.404,0.998027,0.062,None,33.96,None,18614.986,None,10203692.788
9:1:9,9,1,2.0,1.0,111.604,28.515,0.998027,0.056,None,30.836,None,16902.616,None,9265067.26
9:1:10,9,1,2.0,1.0,118.251,30.213,0.998027,0.06,None,32.673,None,17909.257,None,9816851.597
9:1:11,9,1,2.0,1.0,112.249,28.68,0.998027,0.057,None,31.014,None,17000.262,None,9318591.412
9:1:12,9,1,2.0,1.0,103.811,26.524,0.998027,0.052,None,28.683,None,15722.355,None,8618114.476
9:1:13,9,1,2.0,1.0,115.694,29.56,0.998027,0.058,None,31.966,None,17521.963,None,9604558.706
9:1:14,9,1,2.0,1.0,109.052,27.863,0.998027,0.055,None,30.131,None,16515.973,None,9053131.704
9:1:15,9,1,2.0,1.0,117.569,30.039,0.998027,0.059,None,32.484,None,17806.03,None,9760268.233
9:1:16,9,1,2.0,1.0,103.587,26.466,0.998027,0.052,None,28.621,None,15688.326,None,8599461.89
9:1:17,9,1,2.0,1.0,123.209,31.48,0.998027,0.062,None,34.042,None,18660.157,None,10228453.024
9:1:18,9,1,2.0,1.0,113.469,28.991,0.998027,0.057,None,31.351,None,17185.023,None,9419867.228
9:1:19,9,1,2.0,1.0,119.105,30.431,0.998027,0.06,None,32.908,None,18038.559,None,9887727.584
9:1:20,9,1,2.0,1.0,115.88,29.607,0.998027,0.058,None,32.017,None,17550.14,None,9620003.757
9:1:21,9,1,2.0,1.0,112.878,28.84,0.998027,0.057,None,31.188,None,17095.455,None,9370771.282
9:1:22,9,1,2.0,1.0,113.896,29.1,0.998027,0.057,None,31.469,None,17249.689,None,9455313.396
9:1:23,9,1,2.0,1.0,114.352,29.217,0.998027,0.058,None,31.595,None,17318.807,None,9493200.037
